Sentence,Aspect
I dont know if this is a way to save money when the resort is slow or what but definitely unacceptable at a supposed 5 star resort.,OTHER
"Every night, and I mean every single night of our stay, a minimum of four of the listed restaurants were closed, and two were actually just one place named twice.",OTHER
Each night there was no more than three choices of places to eat.,OTHER
"The worst part was, you didn't know what was going to be closed until the day it was closed.",OTHER
What a major disappointment.,OTHER
"False advertising aside, I feel as if I didn't get the exclusive all inclusive treatment that they advertise and that I paid for.",VALUE
"As far as the grounds, the beach, and the pool, absolutely beautiful.",OTHER
"Would I ever I go back to the Punta Cana, yes, would I ever go back to the Paradisus, definitely not.",OTHER
great hotel 14 of us stayed here for a hen weekend our stay was almost faultless.,OTHER
"The only problem we had was one room had a very loud buzzing during the night (room 505) apparently it was to do with it being above the restaurant) however as soon as we mentioned it to reception, we were immediately moved without fuss to a suite!",ROOMS
"so we were more than happy, the hotel staff even moved all of our luggage.",SERVICE
"Check -in was fine, as there was 14 of us it took a while but no longer than you'd expect, plus we were all upgraded from standard to deluxe rooms.",CHECKIN
"Breakfast was quite pricey at 18euros each, but it was a buffet you could eat as much as you like, so if you have a big appetite, perhaps its good value, and if you didn't want to pay 18euros then don't eat it!...",FOOD
"The location was excellent, 5min cab journey to Las Ramblas, which was approx 6-7 euros.",LOCATION
"Content>.I would definately stay here again, the staff were very friendly, one of the nights we all gathered in reception on our way out we were quite noisy taking photos (as we were on hen wkend) and the staff were more than happy to help take photos join in...I would recommend this hotel to anyone staying in Barcelona, great value for money",OTHER
Stay Away This was our first stay after leaving,OTHER
"Orlando, we made the reservations and the staff member(Front Desk) was rude and had no interest whatsoever in me or my reservation there, trying to get information from her was like pulling teeth, but this was my first trip to Miami, and the hotel was downtown so I figured how bad could it be after all the price was right about 100.00 bucks, but I did listen to my instinct and made the reservation for only one night, and booked six nights at the quality Inn at the Falls, the front desk clerk there was great who took my reservation, the River Park when we pulled up looked like a dump in need of some serious renovations, not enough space to pull up to and check in while you take your luggage out of the car, no parking except next door in a office tower (Public ) garage, $21.00 a night, While riding back down in the garage elevator, I noticed a sign that said Hyatt Hotel Guest pay $5.00 a night or something like that, When we checked in at the front dest I asked if they had a similar arrangement with the garage and of course the answer was no.",BUILDING
"The Girl at the check in desk had no personality and let it be known by her attitude that she was in control, not the customer, the lobby was O.K. but the room was old and outdated, and not the cleanest room I had ever stayed in, much like the Edison Hotel in NYC, I did not feel safe in this hotel, one of only 2 hotels out of Hundreds I have stayed in that I had that feeling, anyhow to make a long story short, I could not wait for checkout the next day for our 20 minute drive to the Quality Inn hotel at the falls outside of Miami on route one, and just as expected from my initial phone conversation with Stanley at that hotel, It was going to be a great stay there, and it was.",CLEANLINESS
"Stay away from this hotel, if you really need to be downtown stay in a well known chain for a few extra bucks, your peace of mind will be worth it.",OTHER
"Basic, but comfortable, accomodations in a great location",OTHER
"We originally found this hotel in Nov 2005 through the Rick Steves travel book, and we loved the location.",LOCATION
Tip: pay in cash and have a Rick Steves book to get discounts.,NOTRELATED
"The family that runs the hotel is wonderful, and will go out of their way to make you feel welcome (in your language when possible) as well as book you reservations and make recommendations.",SERVICE
"The location is amazing, very near the Duomo (if you are a light sleeper this can be bad for the tolling bells), just around the corner from the Piazza Republica and down the street from the Uffizi museum and square.",LOCATION
"The rooms themselves are comfortable, but a little on the older side.",ROOMS
They are well maintained though (even if the bathrooms could be helped by a little bleach).,ROOMS
They offer handicapped accessible rooms which are more spacious and located at the enterior of the hotel (which I would recommend as those staying with rooms facing the streets often complain of the noise).,ROOMS
"All in all, not bad for the convenience.",VALUE
Great Location!!!,LOCATION
We arrived at the Eastgate Tower Suites and were amazed at how cute this hotel was.,BUILDING
The lobby was decorated beautifully and the staff were very friendly.,BUILDING
To our surprise they upgraded us the a bigger room.,ROOMS
The room was clean and HUGE!,CLEANLINESS
"It had a full Kitchen, dining room area, bedroom with 2 beds and pull out couch.",ROOMS
There were 6 ladies all together and this room gave us plenty of room to get ready and sleep.,ROOMS
The location was great.,LOCATION
"It is a short cab ride to Time Square, 5th Avenue, and all the shopping areas.",LOCATION
It was also in a great location for all the hot Manhattan Night Clubs.,LOCATION
Next time I visit NYC I will definitley be staying here again.,OTHER
Fabulous Hotel I just got back from an overnight stay at this hotel and,OTHER
I must say it was great!!,OTHER
"I felt this hotel was worth taking the time to do so.First, the staff is super friendly and accomodating.",SERVICE
"Check In is at 3 PM, however, we arrived at 10 AM and got our room right away!!",SERVICE
"After check out on our last day, they held our luggage at the hotel while we did some more sightseeing.",SERVICE
The rooms were spacious.,ROOMS
The beds were super comfy and the shower was awesome!!,ROOMS
The location is in the heart of Times Square and a block from Port Authority.,LOCATION
I would recommend without any hesitation.,OTHER
Has it all,OTHER
Loved it.,OTHER
This place has it all - great spa casino and pool.,OTHER
the service was excellent.,SERVICE
i got engaged on the beach here and had the time of our lives.,OTHER
the guest servicesdepartment delivered champaigne and put rose pedals on our bed at night.,SERVICE
it was amazing.,OTHER
it is close to the airport but you can't hear many airplanes.,LOCATION
the vineyard restaurant is fantastic.,FOOD
get to the pool early to reserve a spot!,OTHER
The Ritz made it worthwhile,OTHER
It was our first time to the island of Puerto Rico which was not as exciting as we had hoped but the hotel and the service were absolutely superb.,SERVICE
The staff was unbelievalbly accomodating and attentive to all our needs.,SERVICE
The service was so awesome that we almost expected the same wherever we went ---we were really spoilt and in for a surprise as we moved around Old San Juan.,SERVICE
The room was fantastic and clean and well designed .,CLEANLINESS
Our kids loved the Ritz-kids program which we tried for a day and much to our dismay the kids preferred to be in the program than to visit the island with us.,OTHER
I would stay here again but I must say the price for food and drinks were a bit excessive.,VALUE
Truly worth staying at this hotel.,OTHER
Paradise Had a 3 night stopover and must say the hotel was brilliant.,OTHER
For some reason we were given the honeymoon treatment with fresh fruit etc. a lovely surprise.,SERVICE
The room had just been renovated and we were one of the first to stay in it.,ROOMS
Beautiful decor and great views from the 3 windows in the room!!,BUILDING
Staff were helpful but the breakfasts were a bit expensive.,SERVICE
"Location is brilliant, right next to the bustling Clarke Quay with its many bars and restaurants.",LOCATION
I would thoroughly recommend the hotel.,OTHER
First it is true that the hotel is about 10min by car from the central station and the building looks terrible from the outside (used to be an old hospital).,BUILDING
But it is a 4* hotel (by international standards) and is is MUCH better then any hotel you can find in the city centre in that price range.,OTHER
"We payed 84,-鈧?",VALUE
"per room (parking =free) and 12,5鈧?",VALUE
for breakfast wich was really very nice.,FOOD
The rooms are very nice and the beds very comfortable.,ROOMS
The shuttle bus works excellent.,OTHER
I really do not understand all the negative comments.,OTHER
It is an excellent hotel at an excellent price!,OTHER
"Great Place, Cheap",OTHER
Rates very cheap and very clean.,CLEANLINESS
"the room has a bed, a balcony, and a bathroom and that is it.",ROOMS
a space heater is included for the cooll evenings as well.,ROOMS
it is located a 10 minute walk to the mtero system and close to major streets so that you can take the buses if you are brave enough.,LOCATION
"the owners are very nice people and will call cabs for you, make suggestions, and fill other reasonable requests.",SERVICE
Nice Hotel My family and,OTHER
It was in a good area.,LOCATION
"Walking distance of Fisherman's Wharf, Alcatraz Ferry, and the F-Line Street car and cable cars.",LOCATION
"The room was very clean, bed very comfy and free wired internet access.",CLEANLINESS
My only complaint is street noise.,ROOMS
"We were on the street side of the hotel, and the street was pretty noisy with people all night long.",ROOMS
"Not really the hotels fault, just the location.",LOCATION
"This hotel ain't cheap, but it is in the middle of a very touristy area.",VALUE
Loved it! An absolute gem of a hotel!,OTHER
Extremely friendly and very helpful staff.,SERVICE
"Clean,comfortable room.",CLEANLINESS
Comfortable bed with fresh sheets everyday.,ROOMS
Secure safe in the room for your valuables.,OTHER
Plenty of choice for breakfast.,FOOD
Hotel is located within 500m of the Duomo and within easy walking distance of all the major sights.,LOCATION
If you can't be without the internet there is even free access in the bar.,OTHER
Will we stay there again-Yes!!!,OTHER
Great location We stayed at the Le,LOCATION
"Despite that the service was great, the room was luxurious and we had a great time.",OTHER
The rooms are slightly masculine in feel.,ROOMS
The room service was particularly good.,SERVICE
The location is great right near the Embarcadero with the ferry building and all the shops.,LOCATION
"Very easy to walk to restaurants, even to walk to North Beach.",LOCATION
This hotel is very quiet and convenient.,OTHER
We will definitely stay there again.,OTHER
"Great location, perfectly nice hotel",OTHER
We stayed at the Hotel Casci on the first 2 nights of our 2 week trip.,NOTRELATED
"It was a perfect location, allowing us to get out quickly to see the sights, and make easy visits back for a rest or to freshen up.",LOCATION
The staff are absolutely lovely.,SERVICE
"We had a bit of a crisis and were frantically awaiting a package to be delivered from home; they were exceptionally accommodating and helpful, even when I'm sure we were driving them nuts.",SERVICE
The breakfasts were some of the best we had throughout our trip.,FOOD
"The room was a reasonable size, and the bathroom was quite large compared to our other stays.",ROOMS
The entire hotel was spotless.,BUILDING
Our only complaint - and this is a really odd one - is that our room smelled of what we could only describe as cabbage.,ROOMS
"Our room was towards the back of the hotel, and the smell became evident the further back you walked.",ROOMS
"We never determined if it was the water and dampness in the room if we didn't leave our windows open (our guess), our someone in the courtyard with a deep love of boiled cabbage.",ROOMS
"Like I said, very odd.",NOTRELATED
It certainly wouldn't keep us from staying there again.,OTHER
It's also become kind of a fun joke that we still mention.,NOTRELATED
"Overall, a great hotel in a city where I'm sure it's easy to pick a bad one.",OTHER
"Again, I can't say enough about the staff - just fabulous people.",SERVICE
Princess !!!,OTHER
I was obsessive about reading the reviews and checking out the forums for the PCP for weeks before my trip and all I can say is this resort is fantastic.,OTHER
"If you go with the attitude that you are on vacation and leave your expectations at home, you will have the time of your life.",OTHER
"That being said, there are some areas that will exceed your expectations.",OTHER
"Rooms: Very nice, clean, clean, clean.",CLEANLINESS
a/c worked exceedingly well and the maids were fantastic.,ROOMS
"Pool : Beautiful, well kept, lots of shade and the swim up bar was great.",BUILDING
"No kids, no loud music and if I had to offer only one morsel, it was that there was no pool side drink service.",SERVICE
Staff: These people are the hardest workers I have ever seen.,SERVICE
They work and work and work to make this resort clean and comfortable.,CLEANLINESS
Beach: Not much to say here but lovely.,OTHER
One of the most beautiful I have ever seen...,OTHER
Food : Well ........This is the only negative experience that I can speak of.,FOOD
"Although there are many choices, don't go with an expectation that you will be having a fine dining experience.",FOOD
"The fodd was tolerable and I always found somehting to eat, but honestly it just isn't very good.",FOOD
"Drinks: Unless you like really sweet drinks, you might want to consider bringing your own mixers..",FOOD
I know that sounds crazy but even the mixer were a little odd.,FOOD
"The soda was odd, the tonic was odd and the OJ tasted like tang.",FOOD
The beer is okay when cold (don't forget the bubba keg) and there is always a very happy and gracious bartender to get you whatever you want.,FOOD
I love my morning mimosa(s) !!!!,OTHER
Bottom line - this is a terrific place.,OTHER
Terrible from start to finish,OTHER
This was my worst hotel stay ever.,OTHER
Hotwire should be embarrassed go carry this hotel.,OTHER
When I arrive the valet man start yelling at us.,SERVICE
The we went inside and the manager didn't really care.,SERVICE
He was to busy flirting with the female guests.,SERVICE
We final got checked in and they put us in a room between the ice machine and the elevator so it was noisy all the time.,ROOMS
The every morning at 8:00 AM housekeeping would knock.,SERVICE
There were no Do Not Disturb signs.,OTHER
Then after telling htem to come back later.,OTHER
They would be back in 15 minutes.,OTHER
Then one night we returned about 1:30 AM to crash and our neighbor left on his music really loud.,ROOMS
We called downstairs and they replied Sorry.,SERVICE
"Then on checkout, there was yet another mess.",SERVICE
"Needless to say, I will not return.",OTHER
"I explained how bad everything was when I left, they replied you will have to talk to hotwire.",SERVICE
Wonderful hotel but bring your ear plugs,OTHER
We felt very welcome and comfortable right from the beginning.,OTHER
All reception staff were great and more than ready to answer any questions we might have had.,CHECKIN
"Room was comfortable, quite spacious, well appointed and very clean.",CLEANLINESS
"Breakfast, although continental was also quite good, particularly coffee which was excellent.",FOOD
Breakfast available until 10.30 which was also nice.,FOOD
"Good location, near to trams and nice restaurant area.",LOCATION
Lovely park nearby too.,LOCATION
Shuttle from airport worked well.,OTHER
"However on the minus side lighting in room at night was dim and bedside lights were a strain to read by, which we like to do.",ROOMS
The bedroom walls are also paper thin and so you are disturbed by other room sounds.,ROOMS
Anyone running a bath/shower or using a hair dryer could be doing so in your own room.,ROOMS
Also all doors seem to have to slam to close.,ROOMS
"So unless you are a really early riser or a really heavy sleeper, the noise factor will be quite a problem.",ROOMS
Fantastic This was the first leg of our five week,OTHER
Europe excursion and it was simply superb.,OTHER
The loctaion was as good as it gets and overall couldn't be faulted.,LOCATION
"All staff were so helpful, deluxe rooms incredibly spacious with the beds being the closest thing to heaven.",ROOMS
Trust me you won't be disappointed.,OTHER
I am travelling back to London next year and won't stay anywhere else.,OTHER
"Great location, views",LOCATION
"It has recently been remodeled and looks beautiful, very modern and super clean.",BUILDING
"It is a great location - close to North Beach, Union Square and Chinatown.",LOCATION
"Our room (1717) had a great view of the bay, Coit tower and the St. Peter Paul Church Spires.",ROOMS
It was a little pricier but so worht it if you are into views.,VALUE
I wish I had read reviews on this site prior to booking.,OTHER
"The first room we were taken to had only a shower, and barely enough room to set down our bags.",ROOMS
It was not newly refurbished by any means.,ROOMS
"The second room we were shown was again, extremely small, and very hot.",ROOMS
"I asked why the air conditioning was not on, and was told they turn it off during this time of the year.",SERVICE
The small window on the slanted ceiling opened minimally and was of no help.,ROOMS
We asked again to be moved to one of their luxurious suites (as advertised on their website) and were told they had no such thing as a suite in that hotel.,OTHER
The only good thing I would say about this hotel is that the manager had enough sense to call Expedia to assist with getting our reservations changed.,SERVICE
We loved our stay,OTHER
I was expecting the worst and received the best.,OTHER
This Hotel is located just two blocks from the Pacific Science Center and the Space Needle.,LOCATION
"If you are looking to do downtown Seattle as a tourist you cannot do much better, in my opinion, than the Best Western Executive Inn.",LOCATION
I utilized Expedia and got a double queen for 65.00 a night.,VALUE
In my opinion it was a great deal.,VALUE
I and my daughter cannot think of one negative experience.,OTHER
Secure parking was a nice plus.,OTHER
Front desk staff was exceptional.,CHECKIN
Breakfast was great.,FOOD
Rooms were clean and comfortable.,CLEANLINESS
Bottom line.....Great value in Downtown Seattle and I would stay there again and again.,OTHER
I made a reservation to stay here in August 2007 and just got charged for the night I canceled.,SERVICE
not as friendly as these posts elude,OTHER
"Unfortunately, we were not very pleased.",OTHER
The place seemed a little run down and the staff was not friendly at all.,BUILDING
The woman at the front desk didn't even greet us with a hello to us when we came into the front office...something you would expect if everyone proclaims they are friendly.,SERVICE
"In addition, when we met up with our friends and they helped us unload our luggage, the lady from the front desk ran out and confronted us about having extra people.",SERVICE
"When we checked out the next day she yelled from the front office window at us, while we are on the street.... that she was charging us for extra people....and they did!",SERVICE
I would avoid this place and would not go hear again.,OTHER
Great Hotel My girlfriend and,OTHER
The hotel is located right in the middle of Boston?,LOCATION
The location is perfect and close to everything Boston has to offer.,LOCATION
The room was just wonderful and was well furbished with a large bed and a working desk.,ROOMS
The bathroom was quite small but it was nice and clean.,CLEANLINESS
However the best thing about the room was the wonderful view of the Boston skyline.,ROOMS
The hotel staff was very helpful and we felt very welcome at the hotel.,SERVICE
There is no doubt the next time we go to Boston we?,OTHER
ll stay at ?,OTHER
The Lenox?,OTHER
Stunning and refreshing,OTHER
One of the best hotels I've ever stayed in.,OTHER
"First of all, the stunning design bowled us over - we didn't want to leave the room.",ROOMS
The staff was very friendly and did their best to please us.,SERVICE
"The hotel is still new, so their bar wasn't open, but their sauna was great.",OTHER
"They offeryou a choice of pillows - a neck roll, a spelt pillow, a hot water bottle - they encourage you to ask for them and that really made the trip special.",OTHER
"Also the location is excellent - right next to the SBahn, 10 minutes from the Reichstag on foot.",LOCATION
"I can't wait to go back, my husband and I considered the hotel a high point of the trip.",OTHER
Mary Jane Rocks at the Magic Castle!,OTHER
We enjoyed our stay last week at the Magic Castle.,OTHER
We got a great rate that was advertised on Travelzoo.,VALUE
The rooms are okay.,ROOMS
They are huge but need a bit of freshening up.,ROOMS
Breakfast was sufficient for being free and the pool was nice.,FOOD
Parking for $9 was the cheapest we saw on our trip.,VALUE
The best part about this hotel is the front desk attendant Mary Jane.,SERVICE
"She provided us insight on where to go and what to do, helped us book reservations at the hottest restaurants and used her connections to get us it.",SERVICE
It became a joke that every day we had to go to Mary Jane to figure out what we were going to do and where we were going to eat!,SERVICE
She is the best part about Magic Castle and deserves a raise!!!(,SERVICE
"and no, I am NOT related to her!)",NOTRELATED
Overall Good Value for the Money,OTHER
"We enjoyed our stay, but we always make the best of a situation.",OTHER
"I will just list the good and bad (good first);Breakfast was good, lots of choices.",FOOD
"Updated (meaning decor, not renovated really)Nice decor, fun, floralSmall refrigerator in the roomOne Valet and One Front Desk clerk were super!",BUILDING
"Nice seating options at the pool, nice lounging areas, relaxing.",BUILDING
"(Bad next):Service (except the two mentioned) terrible- no sense of urgency, slow response times, etc.Room was TINY (we had to upgrade).",SERVICE
"Two full size beds in a tiny closet of a room (1107) with four people, three over 5'8 tall.",ROOMS
"It was too small, the bathroom is tiny, can hardly turn around in it!",ROOMS
"Watch the bartender at Tiki's, they let some blond guy from Iowa charge his drinks to my tab without asking me about it.",OTHER
Considering I had just arrived (with my three kids) it wasn't likely I was buying drinks for some stanger in a bar.,OTHER
"He eventually reversed the charges, but seemed surprised that I didn't know the guy.Slow, slow service at the front desk, don't be in a hurry.",CHECKIN
We called for our luggage (take yours up yourself) and they said five to ten minutes.,SERVICE
"We waited thirty and it still had not arrived, so after two calls down (and snotty clerks) we just left.",SERVICE
The pool was small and most always very crowded.,BUILDING
My ten year old wouldn't go in due to it being too full.,BUILDING
"We had an enjoyable stay, it wasn't terrible, but I wouldn't be inclined to stay at that hotel again.",OTHER
"However, I was told that many of the hotel rooms are very small, I don't know if this is true.",ROOMS
Thanks to Del (valet area) and Kieth (front desk) we were taken care of.,SERVICE
The rest of the staff were aloof and didn't really have any concept of customer service.,SERVICE
"Final note, FOR THE MONEY ($159/nt) and the fact that it's right across the road from the main beach, it's a decent value for a nice location.",VALUE
We found most beach front locations to be much more costly.,VALUE
"It is a cute place, they have done some fun things with the decor.",BUILDING
"There is easy access to food downstairs, Starbucks on the corner, ABC Markets everywhere.",LOCATION
A Bit of a Disappointment,OTHER
"Our room was dark due to subdued lighting and a small window, but to be fair I did ask for a quiet room.",ROOMS
It was fairly quiet.,ROOMS
The room had a very swampy odour when the air conditioning was turned off.,CLEANLINESS
"The decor was nice, different and a bit funky.",ROOMS
The in-room shower was not a problem at all.Our minibar did not work and when I asked at the desk they offered me ice.,ROOMS
"I was happy to get it, but a working minibar would have been preferable.",SERVICE
The staff were very helpful and always polite.,SERVICE
The restaurant they recommended was good.,FOOD
"The area was really nice, away from the crazy busy areas.",LOCATION
"Overall it was an o.k. experience, but I would probably try somewhere else the next time.",OTHER
great hotel Just back today from 3 days staying at the owl hotel.,OTHER
Had a great time.,OTHER
Hotel was in a great location.,LOCATION
Close to the Leidsplien and other main streets.,LOCATION
"Rooms were fine - (some nicer than others), but all were cleaned every day.",CLEANLINESS
Staff were always pleasant and helpful.,SERVICE
Bar prices very good.,VALUE
Little terrace was lovely for sitting and relaxing.,BUILDING
"Breakfast was very good with a choice of cereal, various breads, ham, cheese, eggs, fruit salad, juice + a selection of teas and coffee.",FOOD
This hotel will definetly be my choice of hotel when we plan our next visit to Amsterdam.,OTHER
"Perfect locaion, wonderful staff!",LOCATION
My husband and I just stayed at the Grand Hyatt and loved it.,OTHER
We were in Seattle for a meeting at the convention center and it was right across the street.,LOCATION
"It was the perfect location for shopping,too.",LOCATION
Everything is right there and you are in walking distance of Pike Market Place.,LOCATION
"The hotel has a Starbucks, Ruth Chris Steakhouse and The Cheesecake Factory.",BUILDING
Ruth Chris is also the hotel's main restauraunt and bar.,BUILDING
"They serve breakfast, lunch and dinner there.",FOOD
The breakfast selection was terrific and of course the dinner was fabulous.,FOOD
"We never had lunch there, but I'm sure it was good also.",FOOD
They have a great happy hour with half price appetizers from 4-6 and again from 9-11.,FOOD
The rooms were nice and the bathrooms were great.,ROOMS
"There is a coffeemaker in the room, a nice hairdryer, iron and ironing board and a safe in the closet.",ROOMS
Everything you need right there.,ROOMS
"The staff was so nice and helpful, they really added to our wonderful week in Seattle.",SERVICE
"If we are ever back in Seattle, we will definatley stay at the Grand Hyatt!",OTHER
A charming place to stay The,OTHER
Chancellor exudes charm and character.,OTHER
The staff are exceptional and the location is as good as it gets - one min walk from Union Square.,LOCATION
"We stayed at The Orchard Hotel when we first arrived, it was twice the price and is further away from Union Square.",VALUE
Our room was compact but exceptionally clean and comfortable.,CLEANLINESS
This hotel reminds me of an old New York hotel.,OTHER
"After three weeks travelling in CA and staying in all types of accommodation (5 star, BB's etc) The Chancellor is one of the nicest places we have stayed.",OTHER
PS. the breakfast is good!,FOOD
Good Times -,OTHER
"Lots of fun Me and my girlfriend just returned from the bravelo beach resort in Punta Cana, and we were overall very satisfied.",OTHER
"The resort was right on the beach lots of palm Trees very tropical, we always had good service at the restaurants; the best and most friendly restaurant was the Mexican.",FOOD
"The service was very welcoming, the bars were really busy and the wait for drinks took a little longer, but we were not disappointed waiting a few extra minutes for our drinks.",SERVICE
"The staff was very friendly, sometimes they looked overworked and tired, but if you are nice to them and treat them with respect they will give you a smile and serve you well.I read a lot of negative reviews about this resort, but to be very honest as I do a lot of traveling to the Caribbean countries this one was defiantly a decent resort with lots of great activities.",SERVICE
"When you travel to the Caribbean you have to be prepared that not everything is going to be perfect, but you have to have a positive attitude and always make the best out of everything.",NOTRELATED
"Small, but sexy room",ROOMS
"Yes, the room is small.",ROOMS
The queen sized bed on one wall with a small desk on one side and a small nightstand on the other.,ROOMS
"However, the room is styled so nicely and sexy that it's not even noticed.",ROOMS
Excellent bedding and appointments really set this place apart from other rooms in this town.,ROOMS
The bathroom is really nice sized considering the size of the room; plenty large enough for two people to navigate in.,ROOMS
The Aveda products were also a nice surprise!,OTHER
"The sitting room off to the side of the room was the best part; plasma screen on the wall, armoire for hanging up clothes, a mini bar and a loveseat.",ROOMS
Even with all of that in the room it still didn't feel small to me.This room is perfect for two people coming in to town for a weekend getaway or one person traveling on business.,ROOMS
I will certainly stay here again when I pass through.,OTHER
Heavenly is right!,OTHER
"This was our first stay at a Westin, and it was definitely very close to heaven.",OTHER
"The rooms were very clean, and we had a beautiful view of the Hudson river from the 22nd floor.",CLEANLINESS
The beds were extremely comfortable as is the trademark of the Heavenly beds.,ROOMS
"The service was good overall, and breakfast we had was delivered on time and was very tasty.",FOOD
"I had to ask for bathrobes which were advertised as part of the room package, but they were delivered promptly.",SERVICE
The bathroom door was a pocket metal door with a glass insert panel that slammed shut every time it closed.,ROOMS
"You could hear the doors shut in the adjacent rooms as well, but overall it was a great experience for Times Square during the Christmas season.",ROOMS
"The price was jacked up for the Christmas holiday, but you only live once!",VALUE
Perfect hotel at a perfect location,OTHER
My girlfriend and me stayed at the hotel Cadran over the wekend.,OTHER
The room we had was perfect.,ROOMS
"It was newly renovated, clean and had a modern design.",CLEANLINESS
Also the location of the hotel is perfect.,LOCATION
It is only a short walk away from the Eiffel tower.,LOCATION
The metro station and lots of good restaurants are just around the corner.,LOCATION
Even though the room was very quiet.I highly recommend this hotel and I will definetly stay here again at my next Paris visit.,OTHER
NYC in the summer,NOTRELATED
Stayed here for an overnight while we were in town for a show.,NOTRELATED
"Hotel is good for a home base, but not real big (no business center, etc).",OTHER
"Good location between Times Square and Central Park, Blue line station on 50th and 8th, walk to theaters, plus hot and cold breakfast with 2 staff members in the dining area.",LOCATION
"Rooms are standard, beds are new, staff in helpful.",ROOMS
They were selling broadway theater tix at the concierge desk.,SERVICE
"Call ahead, but I think that offered a different show each day.",OTHER
"Good price ($200) for a clean, safe, mid-town room (2 double beds) that includes breakfast.",CLEANLINESS
"""it wont dissapoint!""",OTHER
"It was clean, modern and spacious enough.",CLEANLINESS
"Content>There was some road noise at night, not from the main road directly below, but from the free-way behind, but this didnt spoil our much needed sleep.",ROOMS
"The pool was fine, clean and towels were available in the pool area.",OTHER
"Like others before, i agree that the lift took ages to arrive at times, which was mildly frustrating!.",BUILDING
The courtesy bus was excellent and always available.A great hotel!,OTHER
Loved this hotel,OTHER
what a huge difference!,OTHER
"From the time you walk in the door, this hotel makes you feel welcome.",OTHER
the staff goes out of their way to make sure you are happy and comfortable.,SERVICE
"there were always two doormen opening the lobby doors and my car door, offering bottled water for my drive; the front desk walked us to the elevators; the room attendants were dressed nicely and left special touches in the room and the room was very clean - my husband and i took a bath both nights (we never do that); the bath towels are luxurious; the room size and the bathroom size are larger than most; the bed is very comfortable; the hotel is very generous with room amenities; the food at cafe sambal was delicious (azul was closed for renovations).",CLEANLINESS
Yes the pool is small but the last thing i want to do at a hotel is sit around a pool with a lot of people.,OTHER
"I suppose the thing that stood out most to me was the friendliness of the staff; if they weren't genuine, they certainly fooled me and my mate. i loved every aspect of this hotel and i will definitely be back, especially to go to the spa. the spa looks unbelievable and unfortunately, we were on business and did not have the time.",OTHER
Have recently returned from a four night stay in the lenox a great experience.,OTHER
Firstly location is perfect close to Boston Common and handy for trains ( harvard trip a must) and short taxi rides to anywhere else you want to visit.,LOCATION
The rooms were well appointed and roomy enough bathrooms were fine.,ROOMS
The gym is small but does a job.Staff very pleasant over all and doorstaff were very helpful.,BUILDING
Overall if you stay at the lenox you will not be disappointed,OTHER
Lovely Hotel Cannot speak highly enough of The London Bridge Hotel.,OTHER
"Our room was delightful, the service was brilliant and the breakfast was superb.",FOOD
Thanks to all staff.,SERVICE
"Beautiful Stay Wonderful hotel, excellent location!",OTHER
"You are in walking distance (minutes) to Bourbon Street, Canal Street, and the French Market.",LOCATION
"The rooms were beautiful, not large, but definitely enough room for two.",ROOMS
"The hotel has completed $70 million in renovations, and it shows.",BUILDING
The bathroom was decorated with marble tile and granite countertop.,ROOMS
The shower was great- lots of pressure and no temperature fluctuations.,ROOMS
The hotel bar is unique with a revolving central carousel.,BUILDING
The Hunt Grill was wonderful- try the crab bisque and crab cakes.,FOOD
"They left an offer in our room for a free bottle of wine with 2 entrees in the restaurant, which was a nice touch.",SERVICE
We would definitely return to this hotel!,OTHER
"ugly inside, nice outside (nice location) aaaaahh!",BUILDING
very ugly room.,ROOMS
but it has a very nice location.,LOCATION
Great Stay in Downtown Miami,OTHER
We chose the Mandarin Oriental as we felt to old for South Beach and we were glad we made the right choice.,OTHER
The hotel is lovely - all rooms have balconies and we chose the Executive Suite - lots of space and a lovely bathroom.,OTHER
A cab to SoBe was $30 and if you're staying at the M.O. then this is a small price to pay.,NOTRELATED
"The service was very good, prices for meals and drinks expensive as you would expect - no point in whinging about a $12 martini if your paying hundreds for the room.",SERVICE
"For those of us visitors without cars, taxis were easy to get and there is a new complex called Mary Brickell Village which has some good restaurants and is a 10 minute walk away.",LOCATION
"The in-room facilities have it all, although no flat screen TVs yet.",ROOMS
"The amenities are Aromatherapy Associates of London - smell of lavender and rose - delightful, conditioner is great.",ROOMS
Load of fresh fluffy towels.,ROOMS
"Pool is a bit small but adequate, the gym well equipped but not used much.",BUILDING
Azul was a fantastic meal - delicious contempory food and slick service but the only detractor was that it arrived on a cold plate.,FOOD
The only other detractor was the bar - off to one side of reception and seemed like a last minute thought - slick service and a list of over 200 martini - we were sorry we didn't stay long enough to try them all.,BUILDING
"Wonderful Hotel We stayed at this hotel for two nights to celebrate my birthday, and couldn't have asked for better.",OTHER
"We had booked one of the red rooms, but on arrival were informed that one of the suites was available in an adjacent building down a short Calle.",SERVICE
We were offered it at a reduced rate of an additional 鈧?,VALUE
0 a night instead of the usual 鈧?,VALUE
0 with breakfast included.,VALUE
"It was lovely, and looked very recently done.",ROOMS
"There was a king size fourposter bed,draped in white muslin.",ROOMS
"Dressing table, and wardrobe all beautifully decorated.",ROOMS
"The walls are covered in cream striped fabric, and there are very beautiful wall lights and table lamps.",ROOMS
The windows were dressed with acres more white muslin and luxuriously draped curtains.,ROOMS
